[(1/2, 1/322, 3/14, 869/322), (0, 1/161, 5/28, 3959/644), (0, 0, 1/4, 53/4), (0, 0, 0, 14)]
[(1/2, 0, 2, 7/2), (0, 1/736, 77/32, 453/184), (0, 0, 4, 3), (0, 0, 0, 4)]
[(1/2, 1/1242, 73/108, 12409/828), (0, 1/621, 65/108, 5153/828), (0, 0, 3/4, 23/4), (0, 0, 0, 18)]
[(1/2, 1/2254, 1/49, 8611/1127), (0, 1/1127, 2/49, 17222/1127), (0, 0, 1/2, 83/2), (0, 0, 0, 49)]
[(1/2, 1/1334, 13/116, 74855/2668), (0, 1/667, 13/58, 74855/1334), (0, 0, 1/4, 109/4), (0, 0, 0, 58)]
[(1/2, 0, 0, 7/2), (0, 1/644, 51/28, 361/161), (0, 0, 2, 5), (0, 0, 0, 7)]
[(1/2, 1/414, 7/9, 1/23), (0, 1/207, 14/9, 2/23), (0, 0, 9/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/874, 7/19, 952/437), (0, 1/437, 9/38, 9489/874), (0, 0, 1/2, 25/2), (0, 0, 0, 19)]
[(1/2, 0, 1/8, 237/8), (0, 1/368, 7/64, 31421/1472), (0, 0, 1/4, 109/4), (0, 0, 0, 32)]
[(1/2, 0, 0, 17/2), (0, 1/1564, 37/68, 6134/391), (0, 0, 2, 9), (0, 0, 0, 17)]
[(1/2, 1/1610, 1/7, 34003/805), (0, 1/805, 1/28, 82849/3220), (0, 0, 1/4, 235/4), (0, 0, 0, 70)]
[(1/2, 1/598, 5/26, 3353/598), (0, 1/299, 5/13, 3353/299), (0, 0, 1/2, 5/2), (0, 0, 0, 13)]
[(1/2, 1/1150, 3/50, 10023/1150), (0, 1/575, 3/25, 10023/575), (0, 0, 1/4, 139/4), (0, 0, 0, 50)]
[(1/2, 1/1426, 19/124, 88655/2852), (0, 1/713, 7/124, 15459/2852), (0, 0, 1/4, 227/4), (0, 0, 0, 62)]
[(1/2, 0, 2, 1/2), (0, 1/920, 13/40, 867/230), (0, 0, 4, 1), (0, 0, 0, 5)]
[(1/2, 1/782, 9/68, 155/92), (0, 1/391, 9/34, 63/46), (0, 0, 17/4, 5/4), (0, 0, 0, 2)]
[(1/2, 1/1058, 2/23, 18248/529), (0, 1/529, 4/23, 12162/529), (0, 0, 1/4, 171/4), (0, 0, 0, 46)]
[(1/2, 0, 0, 5/2), (0, 1/230, 7/10, 561/115), (0, 0, 1, 4), (0, 0, 0, 5)]
[(1/2, 0, 0, 17/2), (0, 1/1564, 99/68, 2615/391), (0, 0, 2, 8), (0, 0, 0, 17)]
[(1/2, 1/1518, 95/66, 1501/506), (0, 1/759, 91/66, 2243/506), (0, 0, 3/2, 3/2), (0, 0, 0, 11)]
